project_id,name,category,aliases,search_terms,developer,device,country,reporting_country,technology,in_scope,test_site_id,test_site_name_raw,location,capacity_kw,capacity_basis,lat,lon,location_basis,first_seen,last_seen,report_years,report_pages,obs_ids,report_years_basis,latest_status,source,pilot_project_id,primre_name,primre_link_basis,primre_status,primre_scale,primre_website,review_status,notes
P0001,Wave Swell Energy King Island Project,annual reports,UniWave200 | WaveSwell Energy's UniWave200 | king-island-project,UniWave200 | Wave Swell Energy King Island,Wave Swell Energy,,Australia,Australia,wave,yes,,,"in King Island, Tasmania",200,Pilot (report),-39.8497,143.9535,PRIMRE,2020,2020,2020,2020:p48,OBS0001,Pilot observations (page + quoted evidence),under_construction,Pilot; PRIMRE,PRJ0001,WSE King Island Project,auto (high confidence),Inactive,Full-scale,https://www.waveswell.com/king-island-project-2/,unreviewed,
P0002,M4 WEC at Albany deployment site,annual reports,M4 | M4 WEC | Albany M4 wave energy project | M4 (Moored MultiMode Multibody) wave energy demonstrator | M4 (short for 'Moored MultiModal Multibody') Wave Energy Converter | Seeding Marine Innovation in WA with a Wave Energy Deployment in Albany | The Albany M4 project,M4 WEC | Albany M4 | Seeding Marine Innovation,University of Western Australia — Wave Energy Research Centre (WERC),M4 - Moored MultiMode Multibody Wave Energy Converter,Australia,Australia,wave,yes,,,the M4 WEC at Albany deployment site,5.5,Pilot (report),-35.0517,117.9262,PRIMRE,2020,2025,2020; 2025,2020:p49; 2025:p76,OBS0002; OBS0005,Pilot observations (page + quoted evidence),retrieved,Pilot; PRIMRE,PRJ0002 | PRJ0004,M4 Wave Energy Demonstration Project,reviewed 2026-09-24: match (M4 at Albany),Inactive,Sub-scale,https://marineenergyresearch.com.au/m4-project/,unreviewed,reviewed 2026-09-24: merged P0003 (The Albany M4 project)
P0004,MoorPower,annual reports,MoorPower | MoorPower Commercial Pilot: Preliminary Design Project | MoorPower Scaled Demonstrator | MoorPower Scaled Demonstrator Project | MoorPower™ pilot,MoorPower | Moorpower,Carnegie Clean Energy,MoorPower,Australia,Australia,wave,yes,,,"the MoorPower™ pilot off Fremantle (WA), led by Carnegie Clean Energy ... Following the successful offshore operation of the MoorPower Scaled Demonstrator in North Fremantle (WA)",,,-32.0614,115.7021,PRIMRE,2025,2025,2025,2025:p74,OBS0006,Pilot observations (page + quoted evidence),retrieved,Pilot; PRIMRE,PRJ0005,Moorpower at North Frementle,reviewed 2026-09-24: match,Inactive,Sub-scale,https://carnegiece.com/wp-content/uploads/2025/04/240614-ASX-CCE-MoorPower-Redeployed.pdf,unreviewed,
P0005,CETO deployment at BiMEP (ACHIEVE Programme),annual reports,ACHIEVE Programme | CETO | Carnegie's CETO Technology | first CETO wave energy converter unit in Europe | ACHIEVE | CETO Wave Energy Ireland | ACHIEVE Programme (scaled CETO unit at BiMEP),~CETO | ACHIEVE | Carnegie's CETO | CETO Wave Energy Ireland,Carnegie Clean Energy,,Spain,Australia | Spain,wave,yes,bimep,BiMEP (Biscay Marine Energy Platform),deployment of CETO at the Biscay Marine Energy Platform (BiMEP) ... at the BiMEP testing site in Bilbao in 2026,,,43.46,-2.88,test site,2025,2025,2025,2025:p77; 2025:p189,OBS0007; OBS0457,Pilot observations (page + quoted evidence),fabrication,Pilot,PRJ0006 | PRJ0364,,,,,,unreviewed,reviewed 2026-09-24: merged P0297 (ACHIEVE Programme (scaled CETO unit at BiMEP))
P0006,WaveX W5 project / Albany Pilot with Shared Anchors,annual reports,Albany Pilot with Shared Anchors | D-Spar™ | W5 project | Wave Powered Generator (WPG),~WPG | ~Albany | D-Spar™ | Wave Powered,WaveX,,Australia,Australia,wave,yes,,,"Deployment is planned for Albany, Western Australia, during 2026–27",10,Pilot (report),-35.0248,117.8836,place,2025,2025,2025,2025:p78,OBS0008,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0007,,,,,,unreviewed,
P0007,Mocean Energy Western Australia deployment,annual reports,,Mocean Energy Western Australia,Mocean Energy,,Australia,Australia,wave,yes,,,Mocean Energy is exploring a potential deployment in Western Australia in collaboration with UWA.,,,-25.2303,121.0187,region,2025,2025,2025,2025:p78,OBS0009,Pilot observations (page + quoted evidence),concept,Pilot,PRJ0008,,,,,,unreviewed,
P0008,Developing Production Systems for Offshore Kelp Mariculture — wave-powered pump kelp trial research farm,annual reports,Developing Production Systems for Offshore Kelp Mariculture | wave-powered pump,Developing Production,Australian Maritime College (UTAS),,Australia,Australia,wave,yes,,,the commissioning of a kelp trial research farm in Tasmania's Derwent River,,,-42.5125,146.6798,region,2025,2025,2025,2025:p73,OBS0010,Pilot observations (page + quoted evidence),under_construction,Pilot,PRJ0009,,,,,,unreviewed,
P0009,"Mermaid concession zone, Belgian North Sea",annual reports,Mermaid concession zone,Mermaid,Mermaid (temporary trading company),,Belgium,Belgium,hybrid,yes,,,"The Belgian maritime spatial plan foresees an area for the exploitation for offshore wind, wave and tidal energy. This area has been divided into 9 zones for which the Government has given domanial concessions for renewable energy project development. The last concession (±55 km from the coast) was granted in July 2012 to the temporary trading company Mermaid.",,,50.6403,4.6667,country,2016,2020,2016; 2020,2016:p59; 2016:p61; 2020:p53,OBS0011; OBS0016; OBS0018,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0010 | PRJ0015,,,,,,unreviewed,"reviewed 2026-09-24: added PRJ0015, the Pilot's test-site record for the same thing"
P0010,FlanSea,annual reports,FlanSea I | FlanSea prototype (1/2 scale) | Flanders Electricity from the sea,FlanSea | FlanSea I | Flanders Electricity,University of Ghent,,Belgium,Belgium,wave,yes,ostend_wave,Harbour of Ostend test site,"The FlanSea prototype device (1/2 scale) of 4.4 m diameter, 5 m height and 25 tonnes weight was commissioned outside the Harbour of Ostend in July 2013.",,,51.235,2.91,test site,2016,2016,2016,2016:p60,OBS0013,Pilot observations (page + quoted evidence),retrieved,Pilot,PRJ0012,,,,,,unreviewed,reviewed 2026-09-24: test site linked from the Pilot's site name
P0011,FlanSea II,annual reports,,FlanSea | FlanSea II,University of Ghent,,Belgium,Belgium,wave,yes,,,"Depending on the results of the FlanSea I project, a possible continuation is under investigation. In this FlanSea II project the emphasis is on the development, which involves deployment of one or multiple wave energy convertors of bigger scale and/or alternative for the Power Take-Off.",,,50.6403,4.6667,country,2016,2016,2016,2016:p61,OBS0014,Pilot observations (page + quoted evidence),concept,Pilot,PRJ0013,,,,,,unreviewed,
